"id","tag_id","tag_name","tag_description","value_representation"
1,"(4010,1070)","AITDeviceType","AIT Device Type","CS"
2,"(0052,0014)","ALinePixelSpacing","A-line Pixel Spacing","FD"
3,"(0052,0011)","ALineRate","A-line Rate","FD"
4,"(0052,0012)","ALinesPerFrame","A-lines Per Frame","US"
5,"(0018,925F)","ASLBolusCutoffDelayTime","ASL Bolus Cut-off Delay Time","UL"
6,"(0018,925C)","ASLBolusCutoffFlag","ASL Bolus Cut-off Flag","CS"
7,"(0018,925E)","ASLBolusCutoffTechnique","ASL Bolus Cut-off Technique","LO"
8,"(0018,925D)","ASLBolusCutoffTimingSequence","ASL Bolus Cut-off Timing Sequence","SQ"
9,"(0018,9257)","ASLContext","ASL Context","CS"
10,"(0018,925B)","ASLCrusherDescription","ASL Crusher Description","LO"
11,"(0018,9259)","ASLCrusherFlag","ASL Crusher Flag","CS"
12,"(0018,925A)","ASLCrusherFlowLimit","ASL Crusher Flow Limit","FD"
13,"(0018,9256)","ASLMidSlabPosition","ASL Mid Slab Position","FD"
14,"(0018,9258)","ASLPulseTrainDuration","ASL Pulse Train Duration","UL"
15,"(0018,9253)","ASLSlabNumber","ASL Slab Number","US"
16,"(0018,9255)","ASLSlabOrientation","ASL Slab Orientation","FD"
17,"(0018,9260)","ASLSlabSequence","ASL Slab Sequence","SQ"
18,"(0018,9254)","ASLSlabThickness","ASL Slab Thickness","FD"
19,"(0018,9252)","ASLTechniqueDescription","ASL Technique Description","LO"
20,"(4010,1014)","ATDAbilityAssessment","ATD Ability Assessment","CS"
21,"(4010,1015)","ATDAssessmentFlag","ATD Assessment Flag","CS"
22,"(4010,1016)","ATDAssessmentProbability","ATD Assessment Probability","FL"
23,"(4010,1038)","ATDAssessmentSequence","ATD Assessment Sequence","SQ"
24,"(4010,1024)","AbortFlag","Abort Flag","CS"
25,"(4010,1021)","AbortReason","Abort Reason","CS"
26,"(003A,0248)","AbsoluteChannelDisplayScale","Absolute Channel Display Scale","FL"
27,"(0072,003E)","AbstractPriorCodeSequence","Abstract Prior Code Sequence","SQ"
28,"(0072,003C)","AbstractPriorValue","Abstract Prior Value","SS"
29,"(0008,0050)","AccessionNumber","Accession Number","SH"
30,"(300A,00F9)","AccessoryCode","Accessory Code","LO"
31,"(0018,9473)","AcquiredImageAreaDoseProduct","Acquired Image Area Dose Product","FL"
32,"(0014,4031)","AcquiredSoundpathLength","Acquired Soundpath Length","DS"
33,"(0018,4000)","AcquisitionComments","Acquisition Comments","LT"
34,"(0014,4032)","AcquisitionCompressionType","Acquisition Compression Type","CS"
35,"(0040,0556)","AcquisitionContextDescription","Acquisition Context Description","ST"
36,"(0040,0555)","AcquisitionContextSequence","Acquisition Context Sequence","SQ"
37,"(0008,9209)","AcquisitionContrast","Acquisition Contrast","CS"
38,"(0008,0022)","AcquisitionDate","Acquisition Date","DA"
39,"(0008,002A)","AcquisitionDateTime","Acquisition DateTime","DT"
40,"(0018,1401)","AcquisitionDeviceProcessingCode","Acquisition Device Processing Code","LO"
41,"(0018,1400)","AcquisitionDeviceProcessingDescription","Acquisition Device Processing Description","LO"
42,"(0022,0015)","AcquisitionDeviceTypeCodeSequence","Acquisition Device Type Code Sequence","SQ"
43,"(0018,9073)","AcquisitionDuration","Acquisition Duration","FD"
44,"(0020,9518)","AcquisitionIndex","Acquisition Index","US"
45,"(0018,1310)","AcquisitionMatrix","Acquisition Matrix","US"
46,"(0022,1423)","AcquisitionMethodAlgorithmSequence","Acquisition Method Algorithm Sequence","SQ"
47,"(0022,1420)","AcquisitionMethodCodeSequence","Acquisition Method Code Sequence","SQ"
48,"(0020,0012)","AcquisitionNumber","Acquisition Number","IS"
49,"(0018,9424)","AcquisitionProtocolDescription","Acquisition Protocol Description","LT"
50,"(0018,9423)","AcquisitionProtocolName","Acquisition Protocol Name","LO"
51,"(0014,4033)","AcquisitionSampleSize","Acquisition Sample Size","IS"
52,"(0018,0073)","AcquisitionStartCondition","Acquisition Start Condition","CS"
53,"(0018,0074)","AcquisitionStartConditionData","Acquisition Start Condition Data","IS"
54,"(4010,1044)","AcquisitionStatus","Acquisition Status","CS"
55,"(0018,0071)","AcquisitionTerminationCondition","Acquisition Termination Condition","CS"
56,"(0018,0075)","AcquisitionTerminationConditionData","Acquisition Termination Condition Data","IS"
57,"(0008,0032)","AcquisitionTime","Acquisition Time","TM"
58,"(0018,1800)","AcquisitionTimeSynchronized","Acquisition Time Synchronized","CS"
59,"(0018,9302)","AcquisitionType","Acquisition Type","CS"
60,"(0020,1001)","AcquisitionsInSeries","Acquisitions in Series","IS"
61,"(0020,1004)","AcquisitionsInStudy","Acquisitions in Study","IS"
62,"(0022,0048)","AcrossScanSpatialResolution","Across-scan Spatial Resolution","FL"
63,"(300A,0218)","ActiveSourceDiameter","Active Source Diameter","DS"
64,"(300A,021A)","ActiveSourceLength","Active Source Length","DS"
65,"(0020,9252)","ActualCardiacTriggerDelayTime","Actual Cardiac Trigger Delay Time","FD"
66,"(0020,9155)","ActualCardiacTriggerTimePriorToRPeak","Actual Cardiac Trigger Time Prior To R-Peak","FL"
